 transmittance, shgc, window_u, roof_u, extWall_u, total_idealCooling, total_idealHeating
0.598164347,0.838791877,0.76170265,0.100000103,0.100000001,624.2734117,17821.38244
0.100472542,0.622228894,0.750142704,0.10000004,0.100000001,325.5319744,19383.80247
0.100462526,0.35102135,1.167390455,0.100000041,0.100000002,190.050098,21686.71536
0.356403639,0.839930557,0.750438805,0.100000101,0.100000012,549.536391,18067.14075
0.131152246,0.437825241,0.750390267,0.100000036,0.100000001,238.2326882,20275.19497
0.107250841,0.781126827,0.764072125,0.100000006,0.100000001,418.7142411,18702.27431
0.103548739,0.809183121,0.750104964,0.100000041,0.100000001,434.9826432,18563.55109
0.100045257,0.350033377,0.868306641,0.100000103,0.100000001,192.2512738,21076.57676
0.10138134,0.532288855,0.750279875,0.100000101,0.100000001,278.6397165,19816.70654
0.145828162,0.396788355,0.750109676,0.100000105,0.100000005,220.9790997,20498.16403
0.100045617,0.350033377,0.805466561,0.100000014,0.100000004,192.8972067,20942.16741
0.101437635,0.532288855,0.772477748,0.100000093,0.100000001,278.2752323,19863.91879
0.598164347,0.838791877,0.750448085,0.100000103,0.100000001,624.6786339,17798.2728
0.100099209,0.350808863,0.919615805,0.100000112,0.100000001,192.0640787,21180.11958
0.116029724,0.665070336,0.750001294,0.100035037,0.100000002,353.9131286,19163.43851
0.100044225,0.511633343,0.75000551,0.100000031,0.100000002,268.0611636,19921.85129
0.102452801,0.350033377,0.802423732,0.100000014,0.100000004,193.2675466,20933.01833
0.100316122,0.457545005,0.750068001,0.100000041,0.100000001,242.2454204,20201.69594
0.109879599,0.756986009,0.75008181,0.100000114,0.100000003,405.4482435,18770.64791
