Transmittance,shgc,window_u,roof_u,extWall_u,total_idealCooling,total_idealHeating
50,0.702447256,0.982896767,0.164384633,0.151462311,947.4077318,20502.72775
60,0.528441161,1.946713363,0.319483165,0.246751301,828.2449129,25006.9928
40,0.402262068,2.026454379,0.184013555,0.322258844,658.465887,26731.45785
30,0.664679538,1.742057972,0.322112589,0.354747109,902.7526238,25904.46672
60,0.546283722,1.69737656,0.364669938,0.289946018,874.9478989,25266.90847
80,0.790502668,1.705871402,0.155518249,0.497246009,1290.865692,26287.36508
70,0.443551992,0.884075659,0.207089314,0.173746316,743.76728,21933.03863
40,0.477142219,1.563070973,0.170132661,0.465548605,790.9207874,27496.2578
50,0.614539644,1.79732248,0.188219494,0.328978278,904.0841099,25234.98296
40,0.671500303,0.890454754,0.245138937,0.330082597,960.4444362,23596.92978
30,0.642037569,2.050776094,0.396955344,0.434374966,913.7790546,27857.98908
50,0.60726446,1.652097845,0.102899931,0.411406504,922.4507847,25928.37241
50,0.795555746,1.580873239,0.356084661,0.461857031,1170.86779,26429.71988
30,0.522898192,2.395748259,0.344288608,0.383568247,774.2078665,28131.97024
50,0.679823264,1.13823373,0.090040684,0.332008574,980.5837126,23464.52439
80,0.603062757,0.914969214,0.262922158,0.289374768,1021.915306,23061.69592
30,0.672637474,2.331003551,0.353251139,0.46590333,944.4811608,28468.97209
80,0.438591215,1.664999457,0.122485311,0.273594385,778.0006783,24677.41175
80,0.710734808,1.566119234,0.253630297,0.25748446,1119.624767,23263.72737
70,0.489174214,2.098380083,0.330119819,0.309501469,843.1655231,26372.72903
60,0.694079064,1.060852082,0.142003931,0.446040282,1090.790451,24966.63142
70,0.439647019,1.420808305,0.223234625,0.230521262,752.6253234,23958.55935
50,0.509807387,1.568489888,0.391833298,0.469788136,880.537202,27953.88771
80,0.42967718,2.152160598,0.3425509,0.214427759,758.9706697,25345.80476
60,0.588681512,1.888534168,0.188263972,0.339397925,916.7939773,25575.53025
70,0.51758105,1.816498245,0.336852658,0.285013276,870.4748184,25399.01339
80,0.749307676,2.161609743,0.283297337,0.321394647,1177.428041,25136.67031
20,0.744063229,0.771492933,0.230011152,0.291210222,927.0589892,22658.14944
30,0.703289098,2.100116073,0.108761759,0.215845963,852.2546104,23578.25575
40,0.493868187,0.822103794,0.095030594,0.398187935,787.3750088,24822.92389
60,0.507794336,1.553535094,0.255932261,0.362928464,853.9953405,25964.04922
50,0.483940422,2.00496934,0.130927173,0.147101633,683.9995554,23286.9174
50,0.658480493,1.886742674,0.159914337,0.29101835,928.951313,24521.415
60,0.726093194,1.725790243,0.135440264,0.218673052,1016.500453,22649.91867
30,0.59127738,1.965201022,0.291713187,0.491804301,878.2809705,28434.70006
40,0.535343742,1.814372073,0.389215537,0.402732063,842.5807856,27413.85642
70,0.624405934,1.650586865,0.386175461,0.398459465,1046.36266,26352.51981
80,0.718057459,1.476707243,0.121646418,0.293821317,1129.953097,23199.68866
80,0.647383543,0.933093912,0.199737166,0.178077729,1024.991927,20951.61966
70,0.649838461,2.28441957,0.186011221,0.411685724,1044.042838,26866.33181
40,0.652542125,2.267734066,0.141961317,0.331509069,890.7452664,25818.75771
80,0.691116477,1.563309589,0.323639742,0.203209773,1082.10872,22719.49815
40,0.614539644,1.79732248,0.188219494,0.328978278,868.0102658,25339.52962
80,0.736216032,2.123578367,0.124798631,0.477740755,1202.556,26850.17538
60,0.43359283,1.541081267,0.259327297,0.229155281,718.7629191,24375.03916
40,0.59169719,1.65723583,0.395994052,0.273566306,849.8599946,25007.68355
