scenario,wall_u,window_u,window_shgc,roof_u,transmittance,heating_load,heating_load_m2 ,cooling_load,cooling_load_m2
117,0.1,0.75,0.75,0.4,0.2,2784.81,15.54,1022.62,5.71
118,0.1,0.75,0.75,0.4,0.4,2527.01,14.1,1626.68,9.08
119,0.1,0.75,0.75,0.4,0.6,2300.3,12.84,2328.64,13
120,0.1,0.75,0.75,0.4,0.8,2102.53,11.73,3097.99,17.29
121,0.1,1.08,0.35,0.1,0.2,2464.24,13.75,801.28,4.47
122,0.1,1.08,0.35,0.1,0.4,2304.71,12.86,1029.4,5.75
123,0.1,1.08,0.35,0.1,0.6,2177.57,12.15,1287.67,7.19
124,0.1,1.08,0.35,0.1,0.8,2068.09,11.54,1573.79,8.78
125,0.1,1.08,0.35,0.17,0.2,2724,15.2,739.92,4.13
126,0.1,1.08,0.35,0.17,0.4,2558.39,14.28,960.32,5.36
127,0.1,1.08,0.35,0.17,0.6,2419.4,13.5,1206.55,6.73
128,0.1,1.08,0.35,0.17,0.8,2305.06,12.87,1482.22,8.27
129,0.1,1.08,0.35,0.25,0.2,3017.42,16.84,681.62,3.8
130,0.1,1.08,0.35,0.25,0.4,2846.4,15.89,894.3,4.99
131,0.1,1.08,0.35,0.25,0.6,2696.9,15.05,1130.65,6.31
132,0.1,1.08,0.35,0.25,0.8,2576.27,14.38,1395.71,7.79
133,0.1,1.08,0.35,0.32,0.2,3272.08,18.26,639.45,3.57
134,0.1,1.08,0.35,0.32,0.4,3095.74,17.28,845.42,4.72
135,0.1,1.08,0.35,0.32,0.6,2939.88,16.41,1074.6,6
136,0.1,1.08,0.35,0.32,0.8,2813.45,15.7,1331.61,7.43
137,0.1,1.08,0.35,0.4,0.2,3557.19,19.85,599.16,3.34
138,0.1,1.08,0.35,0.4,0.4,3373.22,18.83,798.59,4.46
139,0.1,1.08,0.35,0.4,0.6,3209.85,17.92,1020.26,5.69
140,0.1,1.08,0.35,0.4,0.8,3076.96,17.17,1269.04,7.08
141,0.1,1.08,0.43,0.1,0.2,2423.24,13.52,854.99,4.77
142,0.1,1.08,0.43,0.1,0.4,2237.93,12.49,1151.54,6.43
143,0.1,1.08,0.43,0.1,0.6,2096.35,11.7,1495.62,8.35
144,0.1,1.08,0.43,0.1,0.8,1966.72,10.98,1875.82,10.47
145,0.1,1.08,0.43,0.17,0.2,2681.83,14.97,791.8,4.42
146,0.1,1.08,0.43,0.17,0.4,2485.47,13.87,1077.07,6.01
147,0.1,1.08,0.43,0.17,0.6,2334.51,13.03,1406.83,7.85
148,0.1,1.08,0.43,0.17,0.8,2199.46,12.28,1774.3,9.9
149,0.1,1.08,0.43,0.25,0.2,2973.99,16.6,731.53,4.08
150,0.1,1.08,0.43,0.25,0.4,2768.87,15.45,1006.59,5.62
151,0.1,1.08,0.43,0.25,0.6,2606.9,14.55,1322.84,7.38
152,0.1,1.08,0.43,0.25,0.8,2466.73,13.77,1678.14,9.37
153,0.1,1.08,0.43,0.32,0.2,3226.88,18.01,687.59,3.84
154,0.1,1.08,0.43,0.32,0.4,3015.77,16.83,954.45,5.33
155,0.1,1.08,0.43,0.32,0.6,2845.05,15.88,1260.77,7.04
156,0.1,1.08,0.43,0.32,0.8,2700.55,15.07,1606.1,8.96
157,0.1,1.08,0.43,0.4,0.2,3510.42,19.59,645.77,3.6
158,0.1,1.08,0.43,0.4,0.4,3290.03,18.36,904.24,5.05
159,0.1,1.08,0.43,0.4,0.6,3109.34,17.35,1200.08,6.7
160,0.1,1.08,0.43,0.4,0.8,2960.71,16.52,1535.96,8.57
161,0.1,1.08,0.51,0.1,0.2,2382.83,13.3,910.63,5.08
162,0.1,1.08,0.51,0.1,0.4,2179.17,12.16,1283.62,7.16
163,0.1,1.08,0.51,0.1,0.6,2017.7,11.26,1718.53,9.59
164,0.1,1.08,0.51,0.1,0.8,1870.53,10.44,2197.96,12.27
165,0.1,1.08,0.51,0.17,0.2,2640.12,14.74,845.68,4.72
166,0.1,1.08,0.51,0.17,0.4,2421.07,13.51,1202.58,6.71
167,0.1,1.08,0.51,0.17,0.6,2252.61,12.57,1621.94,9.05
168,0.1,1.08,0.51,0.17,0.8,2097.92,11.71,2087.93,11.65
169,0.1,1.08,0.51,0.25,0.2,2930.97,16.36,783.49,4.37
170,0.1,1.08,0.51,0.25,0.4,2698.65,15.06,1126.8,6.29
171,0.1,1.08,0.51,0.25,0.6,2521.92,14.08,1530.49,8.54
172,0.1,1.08,0.51,0.25,0.8,2361.52,13.18,1983.49,11.07
173,0.1,1.08,0.51,0.32,0.2,3182.5,17.76,737.82,4.12
174,0.1,1.08,0.51,0.32,0.4,2941.66,16.42,1070.81,5.98
175,0.1,1.08,0.51,0.32,0.6,2757.43,15.39,1462.75,8.16
176,0.1,1.08,0.51,0.32,0.8,2592.51,14.47,1904.86,10.63
177,0.1,1.08,0.51,0.4,0.2,3463.98,19.33,694.42,3.88
178,0.1,1.08,0.51,0.4,0.4,3211.65,17.93,1016.55,5.67
179,0.1,1.08,0.51,0.4,0.6,3019.34,16.85,1396.42,7.79
180,0.1,1.08,0.51,0.4,0.8,2849.92,15.91,1826.84,10.2
181,0.1,1.08,0.59,0.1,0.2,2346.03,13.09,964.12,5.38
182,0.1,1.08,0.59,0.1,0.4,2127.36,11.87,1413.62,7.89
183,0.1,1.08,0.59,0.1,0.6,1947.06,10.87,1938.19,10.82
184,0.1,1.08,0.59,0.1,0.8,1786.2,9.97,2511.98,14.02
185,0.1,1.08,0.59,0.17,0.2,2601.99,14.52,897.48,5.01
186,0.1,1.08,0.59,0.17,0.4,2366.8,13.21,1327.63,7.41
187,0.1,1.08,0.59,0.17,0.6,2178.91,12.16,1834.89,10.24
188,0.1,1.08,0.59,0.17,0.8,2008.32,11.21,2393.87,13.36
189,0.1,1.08,0.59,0.25,0.2,2891.53,16.14,833.49,4.65
190,0.1,1.08,0.59,0.25,0.4,2640.51,14.74,1246.51,6.96
191,0.1,1.08,0.59,0.25,0.6,2445.49,13.65,1736.82,9.69
192,0.1,1.08,0.59,0.25,0.8,2267.75,12.66,2283.04,12.74
193,0.1,1.08,0.59,0.32,0.2,3141.95,17.54,786.32,4.39
194,0.1,1.08,0.59,0.32,0.4,2879.84,16.07,1186.56,6.62
195,0.1,1.08,0.59,0.32,0.6,2678.73,14.95,1663.35,9.28
196,0.1,1.08,0.59,0.32,0.8,2495.82,13.93,2199.31,12.27
197,0.1,1.08,0.59,0.4,0.2,3421.54,19.1,741.34,4.14
198,0.1,1.08,0.59,0.4,0.4,3145.88,17.56,1128.17,6.3
199,0.1,1.08,0.59,0.4,0.6,2938.23,16.4,1591.33,8.88
200,0.1,1.08,0.59,0.4,0.8,2750.84,15.35,2115.83,11.81
201,0.1,1.08,0.67,0.1,0.2,2306.69,12.87,1025.68,5.72
202,0.1,1.08,0.67,0.1,0.4,2071.18,11.56,1564.71,8.73
203,0.1,1.08,0.67,0.1,0.6,1872.08,10.45,2192.7,12.24
204,0.1,1.08,0.67,0.1,0.8,1697.4,9.47,2877.12,16.06
205,0.1,1.08,0.67,0.17,0.2,2560.45,14.29,956.71,5.34
206,0.1,1.08,0.67,0.17,0.4,2308.36,12.88,1473.36,8.22
207,0.1,1.08,0.67,0.17,0.6,2099.53,11.72,2082.74,11.62
208,0.1,1.08,0.67,0.17,0.8,1914.07,10.68,2749.56,15.35
209,0.1,1.08,0.67,0.25,0.2,2848.52,15.9,890.8,4.97
210,0.1,1.08,0.67,0.25,0.4,2579.74,14.4,1387.02,7.74
211,0.1,1.08,0.67,0.25,0.6,2363.2,13.19,1978.36,11.04
212,0.1,1.08,0.67,0.25,0.8,2168.4,12.1,2630.25,14.68
213,0.1,1.08,0.67,0.32,0.2,3097.9,17.29,842.01,4.7
214,0.1,1.08,0.67,0.32,0.4,2817.04,15.72,1323.09,7.38
215,0.1,1.08,0.67,0.32,0.6,2594.27,14.48,1899.78,10.6
216,0.1,1.08,0.67,0.32,0.8,2393.07,13.36,2541.15,14.18
217,0.1,1.08,0.67,0.4,0.2,3375.44,18.84,795.27,4.44
218,0.1,1.08,0.67,0.4,0.4,3080.66,17.19,1260.67,7.04
219,0.1,1.08,0.67,0.4,0.6,2851.72,15.92,1821.82,10.17
220,0.1,1.08,0.67,0.4,0.8,2645.48,14.77,2452.29,13.69
221,0.1,1.08,0.75,0.1,0.2,2274.84,12.7,1080.46,6.03
222,0.1,1.08,0.75,0.1,0.4,2023.95,11.3,1700.08,9.49
223,0.1,1.08,0.75,0.1,0.6,1810.55,10.11,2418.6,13.5
224,0.1,1.08,0.75,0.1,0.8,1625.25,9.07,3202.09,17.87
225,0.1,1.08,0.75,0.17,0.2,2525.95,14.1,1009.16,5.63
226,0.1,1.08,0.75,0.17,0.4,2259.13,12.61,1604.02,8.95
227,0.1,1.08,0.75,0.17,0.6,2034.11,11.35,2302.85,12.85
228,0.1,1.08,0.75,0.17,0.8,1837.54,10.26,3067.93,17.12
229,0.1,1.08,0.75,0.25,0.2,2812.29,15.7,941.38,5.25
230,0.1,1.08,0.75,0.25,0.4,2528.71,14.11,1513.18,8.45
231,0.1,1.08,0.75,0.25,0.6,2294.76,12.81,2193.82,12.24
232,0.1,1.08,0.75,0.25,0.8,2086.51,11.65,2941.14,16.42
233,0.1,1.08,0.75,0.32,0.2,3060.85,17.08,891.19,4.97
234,0.1,1.08,0.75,0.32,0.4,2764.43,15.43,1445.87,8.07
235,0.1,1.08,0.75,0.32,0.6,2523.73,14.09,2111.54,11.79
236,0.1,1.08,0.75,0.32,0.8,2307.99,12.88,2846.93,15.89
237,0.1,1.08,0.75,0.4,0.2,3336.84,18.62,842.94,4.7
238,0.1,1.08,0.75,0.4,0.4,3026.57,16.89,1379.96,7.7
239,0.1,1.08,0.75,0.4,0.6,2779.47,15.51,2029.45,11.33
240,0.1,1.08,0.75,0.4,0.8,2557.84,14.28,2753.15,15.37
241,0.1,1.41,0.35,0.1,0.2,2949.11,16.46,671.37,3.75
242,0.1,1.41,0.35,0.1,0.4,2772.45,15.47,883.65,4.93
243,0.1,1.41,0.35,0.1,0.6,2612.25,14.58,1118.9,6.24
244,0.1,1.41,0.35,0.1,0.8,2480.72,13.85,1382.93,7.72
245,0.1,1.41,0.35,0.17,0.2,3215.73,17.95,617.18,3.44
246,0.1,1.41,0.35,0.17,0.4,3033.34,16.93,821.81,4.59
247,0.1,1.41,0.35,0.17,0.6,2866.98,16,1049.64,5.86
248,0.1,1.41,0.35,0.17,0.8,2725.63,15.21,1302.41,7.27
249,0.1,1.41,0.35,0.25,0.2,3517.39,19.63,566.19,3.16
250,0.1,1.41,0.35,0.25,0.4,3328.54,18.58,762.68,4.26
251,0.1,1.41,0.35,0.25,0.6,3156.76,17.62,983.05,5.49
252,0.1,1.41,0.35,0.25,0.8,3006.66,16.78,1226.72,6.85
253,0.1,1.41,0.35,0.32,0.2,3779.36,21.09,529.56,2.96
254,0.1,1.41,0.35,0.32,0.4,3584.54,20.01,719.4,4.02
255,0.1,1.41,0.35,0.32,0.6,3407.7,19.02,933.74,5.21
256,0.1,1.41,0.35,0.32,0.8,3251.7,18.15,1170.34,6.53
257,0.1,1.41,0.35,0.4,0.2,4070.54,22.72,494.5,2.76
258,0.1,1.41,0.35,0.4,0.4,3870.81,21.6,678.15,3.78
259,0.1,1.41,0.35,0.4,0.6,3687.09,20.58,886.04,4.95
260,0.1,1.41,0.35,0.4,0.8,3523.44,19.67,1115.71,6.23
261,0.1,1.41,0.43,0.1,0.2,2905.82,16.22,719.09,4.01
262,0.1,1.41,0.43,0.1,0.4,2693.7,15.03,991.43,5.53
263,0.1,1.41,0.43,0.1,0.6,2515.52,14.04,1302.09,7.27
264,0.1,1.41,0.43,0.1,0.8,2373,13.24,1656.9,9.25
265,0.1,1.41,0.43,0.17,0.2,3170.99,17.7,662.97,3.7
