Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
2586,0.5,0.8,0.8,0.34,0.4,38419.3664515558,20092.4389618552
2587,0.5,0.1,0.66,0.22,0.6,44686.2048244353,10231.2274555685
2588,2,0.1,0.1,0.7,0.6,61087.0489618649,9917.31033525195
2589,2,0.52,0.1,0.34,0.6,44972.4093645933,16575.0611299649
2590,0.5,0.8,0.38,0.7,0.4,42014.808692574,19785.7422142702
2591,1.5,0.52,0.24,0.22,0.2,41983.7275520292,13871.7039674672
2592,0.5,0.52,0.24,0.46,0.4,39422.2864017296,16200.3178054787
2593,1.5,0.52,0.24,0.58,0.2,50125.3238061816,14180.2691039633
2594,0.5,0.66,0.1,0.22,0.2,31355.4175704513,16046.3241490123
2595,3,0.24,0.24,0.58,0.4,63410.5198954869,11624.8725411521
2596,1,0.52,0.38,0.46,0.4,44620.0891069737,16027.9939633484
2597,3,0.66,0.1,0.7,0.6,56288.7081023191,18270.3745236724
2598,0.5,0.8,0.8,0.58,0.6,42599.498103067,21366.9751034941
2599,2.5,0.38,0.52,0.58,0.6,59927.1502656214,14937.2112430058
2600,2,0.8,0.52,0.7,0.2,54670.8889166775,17362.3013147802
2601,0.5,0.52,0.1,0.58,0.6,39725.0272446443,17479.9641020876
2602,3,0.8,0.66,0.7,0.4,60554.5674250542,18894.4396340122
2603,2,0.1,0.38,0.7,0.4,64128.3519410933,10120.5990768686
2604,2,0.38,0.24,0.46,0.2,52985.9756940258,12331.2673417386
2605,2.5,0.66,0.52,0.46,0.4,53597.1045357164,17288.0085085016
2606,3,0.24,0.1,0.46,0.2,59949.7796270189,10532.0852431713
2607,1,0.24,0.38,0.58,0.6,51359.8628040195,12856.3982293898
2608,1.5,0.24,0.66,0.46,0.2,55940.2514041205,11399.9959166098
2609,1,0.52,0.66,0.34,0.2,45373.9805204132,14724.8809762865
2610,2.5,0.8,0.52,0.22,0.2,47283.33657454,16970.2753033597
2611,3,0.1,0.38,0.58,0.4,67827.1011746758,9906.96496512545
2612,1.5,0.52,0.52,0.58,0.2,52859.1098852573,14541.5118266524
2613,0.5,0.38,0.52,0.34,0.6,41076.6169668059,15569.3461964178
2614,1.5,0.66,0.1,0.7,0.2,49089.8661271105,15624.0650466503
2615,1,0.52,0.66,0.22,0.2,42540.3176360376,14641.9359724729
2616,1.5,0.52,0.66,0.34,0.2,48875.2511739358,14495.4596219009
2617,1,0.1,0.66,0.1,0.6,45604.9224594949,9860.30030812419
2618,2,0.24,0.52,0.22,0.4,51868.5259499023,11588.5583038949
2619,2,0.66,0.52,0.58,0.6,52238.7249430389,18972.3924961398
2620,0.5,0.38,0.24,0.58,0.4,44180.4092800292,14164.3148262994
2621,3,0.38,0.24,0.1,0.4,49619.2126309754,12855.6072562286
2622,2,0.66,0.52,0.22,0.6,44293.3465056069,18939.6930107675
2623,3,0.66,0.66,0.1,0.4,49222.5092809286,17112.7183797243
2624,0.5,0.66,0.1,0.58,0.6,37705.050252625,19407.2034988488
2625,0.5,0.66,0.1,0.22,0.2,31355.4175704513,16046.3241490123
2626,2.5,0.8,0.66,0.46,0.6,51924.488361989,20475.2373815995
2627,3,0.52,0.8,0.7,0.6,65136.2671596076,17140.2328644462
2628,3,0.66,0.24,0.46,0.2,54769.6440756006,15150.1730508942
2629,0.5,0.66,0.8,0.22,0.4,37395.4345914784,18569.9440705906
2630,2.5,0.52,0.8,0.34,0.6,54701.8669274429,17092.6792895552
2631,2.5,0.66,0.66,0.34,0.6,51319.1244702255,18845.4942735396
2632,3,0.24,0.8,0.22,0.6,59850.1542559407,12517.6442655425
2633,3,0.24,0.8,0.7,0.2,71418.6986302457,11820.7711562739
2634,0.5,0.38,0.52,0.58,0.2,47620.3381559803,13272.6998464494
2635,2.5,0.8,0.1,0.34,0.6,43816.3518559537,20082.8304335262
2636,1,0.1,0.8,0.58,0.6,58102.6160753386,10840.2379509587
2637,2.5,0.1,0.24,0.7,0.2,66180.053118131,9653.79265724854
2638,3,0.1,0.24,0.22,0.6,58069.9954584629,9231.39954657066
2639,2,0.1,0.1,0.46,0.4,56243.3832113472,9289.99652823383
2640,1,0.1,0.1,0.22,0.6,43147.9407006204,9248.66133193346
2641,1.5,0.38,0.1,0.1,0.4,38808.4221018588,13065.5616937276
2642,1.5,0.66,0.8,0.22,0.2,45353.964977212,16161.5421471871
2643,3,0.38,0.8,0.46,0.4,63337.0426596774,13953.2196881023
2644,2,0.52,0.1,0.22,0.6,42126.53127389,16535.2309947435
2645,1.5,0.66,0.8,0.34,0.6,46371.8085765861,19348.7786194416
2646,0.5,0.66,0.24,0.1,0.2,29932.5145250424,16230.0756621336
2647,1,0.38,0.8,0.7,0.4,55657.0560009788,14668.5331694573
2648,3,0.38,0.24,0.1,0.6,48960.3650342271,14036.3386774051
2649,0.5,0.24,0.38,0.58,0.6,47463.173244255,13072.6777472845
2650,2.5,0.38,0.1,0.58,0.6,55756.5676695412,14409.072881398
2651,2,0.8,0.24,0.22,0.2,41520.7091291521,16884.054596757
2652,2,0.38,0.8,0.7,0.2,63110.674684151,13324.18197758
2653,1,0.8,0.1,0.34,0.4,35219.6684762315,19275.8685598812
2654,2,0.24,0.8,0.34,0.6,56673.7625680835,12833.7697410176
2655,2,0.8,0.24,0.1,0.4,37527.1904896247,18867.9787756475
2656,1.5,0.1,0.38,0.22,0.4,50017.9376603453,9323.51155109232
2657,0.5,0.38,0.1,0.7,0.2,45811.895588343,12818.6829166061
2658,3,0.1,0.24,0.7,0.6,68688.4040056481,10079.2926697144
2659,1,0.1,0.8,0.58,0.4,58324.1526338477,10560.8902228198
2660,2.5,0.1,0.1,0.1,0.4,50722.2778255214,8581.59382319818
2661,1.5,0.66,0.52,0.58,0.4,49920.4330999531,17751.0859513161
2662,2.5,0.1,0.52,0.34,0.4,60857.901114536,9685.21325273241
2663,3,0.66,0.66,0.46,0.4,57662.5924958632,17252.0288487793
2664,1,0.38,0.24,0.7,0.2,51197.2352108947,12825.56799746
2665,3,0.52,0.38,0.34,0.4,54584.5176316963,15175.5615185756
2666,1,0.8,0.8,0.22,0.2,40228.0515467498,17998.1351550972
2667,2.5,0.66,0.38,0.58,0.2,55854.5574248262,15553.8733380089
2668,1.5,0.24,0.24,0.58,0.2,54572.737192171,11007.5650773042
2669,1,0.24,0.38,0.58,0.4,51850.3985807965,12066.2300070204
2670,1,0.66,0.8,0.34,0.6,42997.9204735041,19612.1861262677
2671,1.5,0.24,0.38,0.46,0.6,52351.5701548893,12559.46360681
2672,3,0.66,0.66,0.46,0.2,58722.2092838824,15634.3953008567
2673,1.5,0.24,0.38,0.1,0.6,43674.501795238,12121.5281538723
2674,3,0.8,0.8,0.7,0.6,60733.2765004872,20444.6756916898
2675,1,0.52,0.66,0.22,0.2,42540.3176360376,14641.9359724729
2676,3,0.38,0.24,0.58,0.6,60133.1822926559,14494.8572250959
2677,0.5,0.8,0.24,0.46,0.4,35741.6153772945,19715.2568794292
2678,2.5,0.38,0.52,0.58,0.4,60607.0039520143,13863.8966987119
2679,2,0.1,0.1,0.7,0.6,61087.0489618649,9917.31033525195
2680,0.5,0.1,0.1,0.46,0.4,45055.3343155162,9472.20175942958
2681,2.5,0.1,0.66,0.58,0.2,67593.0143897766,10023.6457987429
2682,2,0.8,0.38,0.22,0.4,41904.2151340751,18965.8954679225
2683,1.5,0.1,0.52,0.46,0.6,56762.1407639627,10208.083527523
2684,1,0.24,0.66,0.58,0.2,54930.8746487723,11651.7998496541
2685,2.5,0.8,0.66,0.58,0.2,56517.3499148287,17255.2766889639
2686,1,0.1,0.1,0.7,0.6,53978.3682632841,10060.3425342016
2687,2.5,0.66,0.24,0.46,0.4,50869.7457271905,16985.8006637495
2688,0.5,0.1,0.66,0.34,0.6,47595.5896078226,10430.7969152139
2689,0.5,0.52,0.38,0.22,0.2,36116.1274745824,14619.0659474559
2690,0.5,0.8,0.1,0.58,0.2,37678.5602823811,17686.3111355492
2691,2.5,0.52,0.52,0.46,0.6,54938.6152893931,16901.5117064014
2692,2.5,0.24,0.66,0.34,0.4,59116.5967459109,11869.7697748357
2693,1,0.8,0.66,0.58,0.4,45889.7122713186,19685.2846713682
2694,3,0.1,0.1,0.22,0.2,57083.1215319209,8571.6888122961
2695,2,0.52,0.8,0.7,0.6,59270.0786091461,17426.8605245575
2696,0.5,0.1,0.24,0.58,0.6,48957.5892966731,10227.7917414206
2697,0.5,0.66,0.24,0.22,0.2,32906.0933281902,16227.2029929823
2698,3,0.1,0.38,0.1,0.6,56394.2770886984,9210.87174911374
2699,2,0.24,0.24,0.34,0.2,52565.997886738,10611.2921130514
2700,3,0.8,0.66,0.1,0.2,48393.2833776242,16871.1771555622
2701,1,0.38,0.66,0.58,0.4,52038.5954422408,14427.467246364
2702,3,0.24,0.8,0.34,0.2,63764.0138205583,11279.2633658278
2703,2.5,0.38,0.8,0.58,0.6,62333.2289775752,15221.2556255325
2704,2.5,0.8,0.52,0.1,0.6,42372.5023593442,20392.6444600487
2705,2.5,0.66,0.38,0.46,0.6,51392.1492098739,18644.3485530412
2706,3,0.24,0.1,0.1,0.4,50686.6933004298,10663.200417619
2707,2.5,0.24,0.52,0.7,0.4,65595.2127282829,12195.5665511083
2708,2,0.24,0.24,0.46,0.6,54250.2145555316,12287.3190865166
2709,2.5,0.38,0.24,0.34,0.4,52622.8650083377,13241.453750095
2710,3,0.52,0.52,0.1,0.2,50983.2329279497,13633.5183931492
2711,3,0.38,0.38,0.46,0.2,60413.1977368256,12384.2641951197
2712,0.5,0.8,0.1,0.46,0.2,35162.6215624146,17685.6547400521
2713,2,0.1,0.38,0.22,0.4,53455.8206713395,9282.29773749982
2714,3,0.24,0.38,0.34,0.4,59498.7219803549,11468.7286006856
2715,1,0.24,0.1,0.1,0.4,37567.7033444461,11001.6072559591
2716,0.5,0.8,0.52,0.22,0.4,33201.0299377133,19958.1596715137
2717,2,0.52,0.38,0.1,0.6,42077.7035165578,16834.046369323
2718,3,0.1,0.52,0.1,0.6,57703.887952174,9408.76076255051
2719,3,0.66,0.1,0.34,0.6,48657.5163592318,18163.2345910251
2720,0.5,0.52,0.66,0.7,0.2,49241.1451597104,15239.913247335
2721,1,0.52,0.52,0.1,0.4,37474.8839900683,16086.3899789226
2722,1,0.66,0.8,0.7,0.4,51335.4507316825,18259.2639221289
2723,2,0.52,0.66,0.34,0.6,50488.8398823815,17167.3631391505
2724,2,0.66,0.38,0.7,0.6,53315.3102052828,18885.7291475821
2725,2,0.1,0.66,0.34,0.2,59133.4507409221,9613.87043051691
2726,2.5,0.8,0.1,0.22,0.4,41923.8842641698,18471.2641390421
2727,1,0.52,0.24,0.7,0.4,48183.0676250521,15976.9104658655
2728,2.5,0.1,0.24,0.46,0.4,60910.9000381712,9493.44463589168
2729,1.5,0.24,0.8,0.46,0.2,57120.8948063322,11561.9667840625
2730,3,0.24,0.52,0.22,0.2,58505.8559023378,10743.3723956271
2731,2.5,0.38,0.66,0.58,0.2,62602.823395523,12943.6015040668
2732,1.5,0.24,0.52,0.58,0.4,56756.3739242194,12147.9486823083
2733,1,0.1,0.24,0.34,0.4,47816.4392889197,9394.01605751905
2734,0.5,0.52,0.24,0.7,0.6,43657.8362783369,17649.3536715095
2735,2,0.66,0.1,0.7,0.2,52353.2741910412,15435.1080070835
2736,1,0.8,0.52,0.58,0.4,44626.7451820845,19595.8633004333
2737,1,0.38,0.52,0.22,0.4,42651.3763834603,13960.875101194
2738,2.5,0.66,0.66,0.1,0.4,46414.8343533058,17310.9816909061
2739,1,0.24,0.1,0.58,0.6,48455.4838455547,12460.6384953346
2740,1,0.1,0.1,0.34,0.6,46088.3935659284,9469.32997416212
2741,2.5,0.8,0.1,0.1,0.6,38089.8144697757,20098.3602776209
2742,3,0.66,0.8,0.46,0.2,59897.8048378309,15767.0424151895
2743,1.5,0.8,0.52,0.34,0.4,42880.7480030874,19331.9344028942
2744,1,0.1,0.52,0.1,0.6,44331.1617684425,9675.72540914772
