Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,,total_idealHeating(per m2),total_idealCooling (per m2)
4396,1.8,0.24,0.1,1.38,0.2,284038.2988,126128.0931,31333.30449,,1502.53014600085,667.20320090986
4397,2.8,0.52,0.76,0.42,0.2,210838.1986,124355.4115,89615.31523,,1115.30997989843,657.825917795176
4398,0.8,0.8,0.98,0.42,0.8,126349.3166,200790.4388,298806.028,,668.373447947524,1062.15847862886
4399,0.3,0.52,0.98,1.7,0.4,258485.7912,165706.2013,121727.9511,,1367.36030046551,876.566871032586
4400,1.8,0.1,0.32,0.42,0.4,209536.1056,95401.93664,11903.05653,,1108.42205670758,504.665344054168
4401,2.8,0.38,0.1,1.06,0.2,269733.4429,128407.0574,59372.51666,,1426.8590927846,679.258661658908
4402,2.3,0.66,0.54,0.42,0.2,187423.5867,131461.6358,122513.4188,,991.44935833686,695.417032374101
4403,1.8,0.66,1.2,0.42,0.8,162803.8968,180902.5269,238925.5344,,861.214011849344,956.953697101143
4404,2.8,0.66,0.1,0.42,0.8,162000.0606,173744.4617,238601.0158,,856.9618101989,919.088350084638
4405,1.3,0.66,0.1,1.7,0.4,258459.7861,172074.0835,161414.3167,,1367.22273645789,910.25224026661
4406,2.3,0.1,0.98,0.1,0.2,196785.0597,87803.23571,8759.045285,,1040.97048085061,464.469084373678
4407,0.3,0.24,0.98,0.1,0.8,119175.031,115361.0212,59859.06124,,630.422296868388,610.24662082099
4408,0.3,0.66,0.32,0.1,0.2,93380.62749,122211.579,122650.2086,,493.972849608549,646.485288827761
4409,0.8,0.52,0.98,1.06,0.2,231324.7402,140208.596,92108.266,,1223.68144413881,741.687452391028
4410,1.8,0.66,0.32,0.74,0.4,195703.8392,153221.2069,161343.2908,,1035.25094794752,810.522677211172
4411,0.3,0.24,1.2,1.06,0.2,239209.2554,123022.6612,29263.64656,,1265.38962865002,650.775820990267
4412,2.3,0.24,0.54,1.7,0.8,315131.5951,151681.7915,63212.05629,,1667.01013066018,802.379345641134
4413,2.3,0.1,1.2,1.7,0.8,344236.5381,135993.7806,18202.26002,,1820.9719535548,719.391560516293
4414,1.3,0.66,0.98,0.42,0.2,172480.5485,133643.3705,122587.6819,,912.402393673297,706.958159648752
4415,2.3,0.52,0.76,0.1,0.4,152353.1034,127297.1255,118586.4171,,805.930508887008,673.387248730428
4416,1.3,0.66,0.1,1.7,0.2,267943.2416,157369.0091,122587.6819,,1417.38913245874,832.464076914939
4417,0.8,0.24,1.2,1.7,0.8,290225.3914,154486.292,59831.7346,,1535.25915890817,817.214832839611
4418,1.3,0.52,0.54,1.06,0.8,214072.5947,174037.7542,180697.8219,,1132.41956570038,920.639833897588
4419,1.3,0.66,1.2,0.1,0.4,127719.6586,142467.5592,161414.3167,,675.622400550148,753.637109606432
4420,1.3,0.24,0.76,1.06,0.4,255117.6014,127532.3757,39431.93517,,1349.54296127804,674.631695408379
4421,2.8,0.66,0.1,1.06,0.6,232451.8001,173950.4858,199891.0236,,1229.64346223022,920.178194033009
4422,0.8,0.1,0.1,0.1,0.8,134062.6325,87808.13033,17223.63895,,709.176007723233,464.494976354211
4423,0.8,0.8,0.98,1.38,0.8,213577.6499,218711.3292,298806.028,,1129.80136426153,1156.95794117647
4424,2.8,0.66,0.76,1.06,0.6,246039.0534,177794.7195,199891.0236,,1301.51847968684,940.513751057977
4425,1.3,0.24,0.32,0.1,0.6,138488.2254,104712.3814,49615.31525,,732.586888489209,553.916533008887
4426,0.8,0.52,0.98,0.74,0.4,193369.1445,145149.6055,121676.0504,,1022.90067975032,767.824828078714
4427,1.3,0.24,0.98,0.42,0.6,190900.6271,117897.3754,49615.31525,,1009.8425047609,623.663644731274
4428,2.3,0.8,1.2,1.7,0.6,282659.7093,206099.1093,250188.5337,,1495.23756506559,1090.24073899704
4429,2.3,0.1,0.98,0.1,0.4,194656.8842,89877.49496,11906.78353,,1029.71267562421,475.441678798138
4430,2.8,0.8,0.98,1.38,0.2,286541.8064,165097.1972,153666.4894,,1515.77341515023,873.345308929327
4431,1.3,0.66,0.32,1.38,0.8,224109.6929,196810.6081,239067.5863,,1185.51466832416,1041.10562896741
4432,0.8,0.24,1.2,0.1,0.2,151147.5583,97348.73129,29256.8149,,799.553313055438,514.963665308929
4433,1.3,0.52,0.98,1.7,0.4,285466.7835,165890.1231,121619.1518,,1510.086666843,877.539796339399
4434,2.3,0.66,0.54,1.38,0.6,258146.9437,183177.9681,200018.1622,,1365.56783590774,968.990521053745
4435,1.3,0.66,0.1,1.38,0.4,235007.2215,165858.8594,161414.3167,,1243.16134944985,877.374414938637
4436,2.8,0.52,0.32,0.1,0.2,162762.5222,112443.2963,89615.31523,,860.995144942869,594.812189483707
4437,1.8,0.66,0.98,1.06,0.2,247701.2868,149383.6037,122552.169,,1310.3115044435,790.222194773593
4438,0.3,0.52,0.54,1.38,0.6,219763.4885,169594.7254,151321.6858,,1162.52374365214,897.136719212865
4439,2.3,0.52,0.76,1.38,0.2,289430.5512,147438.0626,89653.0921,,1531.05454506983,779.9305046551
4440,1.3,0.1,0.1,0.74,0.6,223905.662,104449.2923,14219.23675,,1184.43536817605,552.524821730851
4441,2.8,0.8,0.54,0.42,0.8,161214.9719,194238.4536,298285.7008,,852.808780681337,1027.49922556073
4442,2.3,0.66,0.32,1.38,0.4,262604.9101,167348.2414,161265.7905,,1389.14996878967,885.253075539568
4443,2.8,0.1,0.76,1.38,0.6,326155.2277,125894.6508,15057.76293,,1725.32388753703,665.968317816335
4444,1.3,0.66,0.1,0.74,0.6,170147.1409,167684.2793,200240.9515,,900.058934088024,887.030677634363
4445,1.3,0.8,0.32,1.06,0.8,187425.1401,208413.8635,298690.6101,,991.457575645366,1102.48552422768
4446,1.8,0.38,0.76,0.74,0.8,213802.0137,149595.2616,118386.8016,,1130.98822312738,791.341840880237
4447,2.3,0.1,1.2,0.1,0.6,196331.2989,92691.29867,15054.52177,,1038.57013806602,490.326378914516
4448,1.8,0.1,0.54,0.74,0.6,245714.0626,107728.7106,15048.93127,,1299.79931548879,569.872569826492
4449,2.3,0.38,0.54,0.42,0.4,198521.8951,122840.1717,79029.58701,,1050.15814166314,649.810472386797
4450,1.8,0.1,0.76,1.06,0.2,282636.1686,113531.2782,8757.181785,,1495.11303745239,600.567489420229
4451,2.8,0.1,0.32,1.06,0.2,295932.3495,112342.1897,8760.125672,,1565.44831517139,594.277347122302
4452,0.3,0.38,0.76,1.38,0.6,235977.2365,155416.9775,96460.30661,,1248.29261796445,822.13805279306
4453,0.8,0.38,0.98,0.42,0.2,177265.627,114855.1651,57764.47453,,937.714912187897,607.570699851883
4454,0.8,0.8,0.1,0.42,0.2,133703.7794,137812.6174,153796.5712,,707.277715827338,729.012999365214
4455,2.3,0.8,0.54,1.06,0.6,221811.474,190814.1009,250188.5337,,1173.35735294118,1009.38479104951
4456,2.3,0.8,0.1,0.74,0.4,192318.3827,163378.257,201945.7176,,1017.34226988997,864.252311680068
4457,1.8,0.52,0.1,1.7,0.8,266333.6158,183695.2274,176590.2341,,1408.87439589505,971.726763647905
4458,2.8,0.66,0.1,0.74,0.6,202667.0353,166873.4368,199891.0236,,1072.08545969107,882.741413457469
4459,2.8,0.1,0.54,0.74,0.2,271474.7133,105288.2243,8760.125672,,1436.07021424037,556.962676153195
4460,0.8,0.66,0.32,1.38,0.6,218599.8,182705.4895,200338.7435,,1156.36796445197,966.491163245874
4461,2.3,0.1,0.76,1.38,0.6,315799.1975,125409.9858,15054.52177,,1670.5416710749,663.404495344901
4462,0.8,0.24,0.76,0.1,0.6,134005.709,107541.7922,49640.0947,,708.8748889124,568.883792848074
4463,2.8,0.66,0.32,0.74,0.8,200860.8301,182300.0706,238601.0158,,1062.53084056284,964.346543588659
4464,0.3,0.38,1.2,0.1,0.2,126755.4623,107107.1384,57782.10161,,670.521912293695,566.584523910284
4465,1.3,0.52,1.2,0.74,0.8,196022.4726,170481.1939,180697.8219,,1036.93648222598,901.826036288616
4466,2.3,0.8,1.2,0.74,0.6,203877.3895,187480.5592,250188.5337,,1078.48809511215,991.750736352095
4467,0.8,0.66,0.1,1.7,0.2,255028.6763,157102.7871,122620.2793,,1349.07255765975,831.055792953872
4468,1.3,0.24,0.1,1.7,0.4,290856.1756,137693.325,39431.93517,,1538.5959352518,728.381956199746
4469,1.3,0.1,0.1,1.7,0.2,305814.7004,123306.3722,8186.634326,,1617.72482225984,652.276619763013
4470,0.3,0.8,1.2,0.42,0.6,123748.7165,183937.5447,250549.669,,654.616570567076,973.008594477359
4471,2.3,0.66,0.54,0.74,0.6,202212.6112,169656.9125,200018.1622,,1069.68160812526,897.465681866272
4472,2.3,0.24,0.76,1.7,0.8,319142.0952,152925.0836,63212.05629,,1688.22521794329,808.956218789674
4473,2.8,0.66,0.98,0.1,0.2,166720.2433,125265.5222,122471.0393,,881.931037346593,662.640299407533
4474,0.3,0.52,0.32,1.06,0.2,204361.5434,136177.2714,92134.21634,,1081.04921392298,720.362205882353
4475,2.8,0.1,0.1,0.74,0.4,260332.4163,104309.9113,11908.9443,,1377.1287362463,551.787512166737
4476,2.3,0.66,0.76,0.1,0.4,142488.863,139548.0635,161265.7905,,753.749804274228,738.193310939484
4477,2.8,0.38,0.98,0.74,0.2,257631.3646,125635.5727,59372.51666,,1362.8404813796,664.597824269996
4478,2.3,0.66,0.98,0.42,0.6,176547.872,164535.6045,200018.1622,,933.918070249683,870.374547714769
4479,2.3,0.38,0.1,1.7,0.4,301728.2578,150404.9457,79029.58701,,1596.10800782903,795.624977253492
4480,0.3,0.8,0.1,1.7,0.8,205666.9443,220639.3975,298912.8635,,1087.95463552687,1167.15720217943
