Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,
1299,1.38,0.75,0.35,0.42,0.8,20125.14658,3011.835287,10706.21581,
1300,0.84,0.62,0.225,0.42,0.8,18687.67692,2739.411234,8563.008575,
1301,1.38,0.62,0.6,0.1,0.2,19907.02523,2238.509938,6219.249295,
1302,2.46,0.36,0.475,0.18,0.8,22742.04799,1912.873203,4190.66943,
1303,0.84,0.62,0.6,0.26,0.4,19921.87112,2518.85704,7001.076551,
1304,0.84,0.1,0.6,0.5,0.6,24405.5468,1362.544919,564.4545755,
1305,0.3,0.75,0.225,0.18,0.8,14692.19801,3120.275525,10712.72117,
1306,1.92,0.1,0.6,0.42,0.6,26174.20986,1308.2579,602.0938391,
1307,3,0.36,0.35,0.18,0.4,23297.91738,1634.696977,3391.427274,
1308,1.38,0.36,0.6,0.42,0.6,23477.06617,1978.130573,3616.778068,
1309,0.3,0.1,0.225,0.1,0.4,17388.21453,1058.683603,497.4760127,
1310,3,0.23,0.1,0.18,0.8,22258.79508,1400.650016,2225.099799,
1311,2.46,0.1,0.1,0.42,0.2,24501.73694,1071.825628,463.1266797,
1312,1.92,0.36,0.35,0.18,0.6,21108.14577,1804.15767,3793.639999,
1313,1.92,0.49,0.475,0.5,0.8,23730.34422,2371.402458,6189.021128,
1314,1.38,0.1,0.475,0.5,0.4,25068.676,1275.646018,497.8088828,
1315,2.46,0.62,0.225,0.42,0.8,22030.3475,2568.750223,8551.60683,
1316,3,0.75,0.475,0.42,0.2,24624.05775,2385.446557,7803.904,
1317,0.3,0.36,0.1,0.34,0.4,17379.24002,1756.486604,3230.784927,
1318,1.38,0.62,0.225,0.26,0.2,19216.19721,2138.43114,6219.249295,
1319,1.38,0.75,0.1,0.42,0.4,19021.71447,2598.363619,8773.377263,
1320,0.3,0.49,0.475,0.26,0.4,18401.29541,2242.32795,5261.525804,
1321,0.3,0.23,0.1,0.26,0.2,17442.54178,1293.328787,1463.335297,
1322,1.38,0.23,0.35,0.42,0.4,22942.77435,1474.543299,1672.61274,
1323,0.3,0.75,0.225,0.42,0.6,17051.79369,2944.796062,9744.675557,
1324,0.84,0.75,0.475,0.26,0.8,18282.30344,3097.942664,10709.6115,
1325,1.38,0.49,0.1,0.26,0.2,18912.96276,1795.185835,4662.708516,
1326,1.92,0.62,0.35,0.42,0.8,21775.1427,2654.359445,8555.777214,
1327,0.84,0.23,0.225,0.1,0.4,18039.01018,1345.939999,1673.021498,
