Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
3548,2.3,0.66,1.2,1.06,0.6,243408.4199,180050.9321
3549,0.3,0.38,1.2,1.06,0.6,217034.9477,150775.0556
3550,0.8,0.52,0.76,0.42,0.2,163948.0417,123208.6694
3551,0.8,0.52,0.76,1.06,0.2,227497.1051,139025.1095
3552,2.8,0.8,0.1,1.7,0.6,271873.7642,200075.2898
3553,2.3,0.24,0.76,0.1,0.2,180958.6362,96393.66317
3554,2.3,0.1,0.98,0.1,0.2,196785.0597,87803.23571
3555,1.3,0.1,0.1,1.7,0.8,300551.0278,129211.4999
3556,1.3,0.8,0.98,0.74,0.2,198208.6634,150413.6245
3557,1.8,0.52,0.76,0.42,0.6,172635.174,148650.9699
3558,0.3,0.52,0.1,1.06,0.6,183747.1705,160350.2889
3559,0.3,0.38,0.54,0.42,0.6,141541.4486,131918.2551
