Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad
v4268,2.22,0.34,0.4,0.46,0.2,104327.2812,18352.23541,25160.17308
v4269,0.78,0.34,0.2,0.1,0.6,79259.48728,21260.82709,33135.21911
v4270,2.7,0.58,0.4,0.58,0.8,98789.89809,22250.60662,79148.77973
v4271,2.22,0.58,0.6,0.22,0.8,92036.41912,22694.55381,79212.40279
v4272,1.26,0.58,0.5,0.46,0.6,86205.55954,22884.25156,70103.96161
v4273,1.26,0.46,0.4,0.46,0.4,89886.98608,21355.27852,45989.50283
v4274,1.26,0.7,0.3,0.58,0.2,84924.19903,22468.1499,64654.77007
v4275,2.7,0.58,0.2,0.22,0.8,90871.51778,22533.2559,79148.77973
v4276,2.7,0.58,0.2,0.58,0.8,96033.78138,22324.64827,79148.77973
v4277,2.22,0.58,0.5,0.7,0.6,98558.63621,22071.08142,70020.29186
v4278,2.22,0.46,0.4,0.34,0.6,96207.3505,21235.45712,51053.38375
v4279,2.7,0.1,0.3,0.46,0.2,115650.701,13986.71947,4270.826679
v4280,0.3,0.1,0.1,0.46,0.4,87250.98378,15968.57823,4898.997613
v4281,0.3,0.1,0.4,0.1,0.8,85263.20332,17103.81099,6712.226939
v4282,0.3,0.46,0.6,0.7,0.8,82554.6074,23047.78468,60275.49823
v4283,2.7,0.58,0.6,0.34,0.4,100505.4413,21334.13001,60796.36939
v4284,2.22,0.7,0.1,0.22,0.8,81491.07757,23660.0804,98552.10212
v4285,1.26,0.46,0.4,0.1,0.2,85866.84021,20763.39923,38884.58391
v4286,0.3,0.7,0.1,0.58,0.8,66963.74458,24703.06875,98768.35648
v4287,0.3,0.46,0.3,0.46,0.6,76413.9447,22914.26125,53151.53992
v4288,2.22,0.7,0.4,0.1,0.4,86645.84067,22714.88692,75934.4045
v4289,1.26,0.7,0.4,0.58,0.2,86305.08713,22431.31223,64654.77007
v4290,1.26,0.22,0.6,0.22,0.8,95723.33112,19191.41189,20292.23376
v4291,2.7,0.46,0.4,0.58,0.6,103729.5191,20783.53038,51013.60517
v4292,2.7,0.34,0.2,0.34,0.8,101106.9323,19894.29623,39621.84275
v4293,0.3,0.7,0.2,0.22,0.2,67656.46279,23533.39576,64679.61928
v4294,2.7,0.46,0.1,0.1,0.2,95199.91023,19483.60936,37200.85791
v4295,0.3,0.58,0.1,0.7,0.4,74367.84552,23246.85409,60930.95171
